zip,county
76437,Callahan County
76443,Callahan County
76464,Callahan County
76469,Callahan County
79501,Jones County
79503,Jones County
79504,Callahan County
79508,Taylor County
79510,Callahan County
79519,Taylor County
79520,Jones County
79525,Jones County
79530,Taylor County
79533,Jones County
79536,Jones County
79536,Taylor County
79541,Taylor County
79553,Jones County
79560,Jones County
79561,Taylor County
79562,Taylor County
79563,Taylor County
79566,Taylor County
79567,Taylor County
79601,Callahan County
79601,Jones County
79601,Taylor County
79602,Callahan County
79602,Taylor County
79603,Taylor County
79604,Taylor County
79605,Taylor County
79606,Taylor County
79607,Taylor County
79608,Taylor County
79699,Taylor County
00601,Utuado Municipio
00602,Aguada Municipio
00603,Aguadilla Municipio
00604,Aguadilla Municipio
00605,Aguadilla Municipio
00610,Aguada Municipio
00610,Anasco Municipio
00611,Utuado Municipio
00612,Utuado Municipio
00631,Lares Municipio
00641,Utuado Municipio
00650,Utuado Municipio
00662,Isabela Municipio
00664,Utuado Municipio
00669,Lares Municipio
00669,San Sebastian Municipio
00670,Anasco Municipio
00676,Aguada Municipio
00676,Moca Municipio
00677,Aguada Municipio
00677,Rincon Municipio
00678,Isabela Municipio
00678,San Sebastian Municipio
00680,Anasco Municipio
00685,Isabela Municipio
00685,San Sebastian Municipio
00690,Aguadilla Municipio
44056,Summit County
44067,Summit County
44087,Summit County
44141,Summit County
44201,Portage County
44202,Portage County
44202,Summit County
44203,Summit County
44210,Summit County
44216,Summit County
44221,Summit County
44222,Summit County
44223,Summit County
44224,Portage County
44224,Summit County
44230,Summit County
44231,Portage County
44232,Summit County
44234,Portage County
44236,Portage County
44236,Summit County
44240,Portage County
44240,Summit County
44241,Portage County
44243,Portage County
44250,Summit County
44255,Portage County
44256,Summit County
44260,Portage County
44260,Summit County
44262,Summit County
44264,Summit County
44265,Portage County
44266,Portage County
44272,Portage County
44278,Portage County
44278,Summit County
44281,Summit County
44285,Portage County
44286,Summit County
44288,Portage County
44301,Summit County
44302,Summit County
44303,Summit County
44304,Summit County
44305,Summit County
44306,Summit County
44307,Summit County
44308,Summit County
44309,Summit County
44310,Summit County
44311,Summit County
44312,Portage County
44312,Summit County
44313,Summit County
44314,Summit County
44319,Summit County
44320,Summit County
44321,Summit County
44325,Summit County
44333,Summit County
44334,Summit County
44411,Portage County
44412,Portage County
44429,Portage County
44444,Portage County
44449,Portage County
44470,Portage County
44491,Portage County
44601,Portage County
44614,Summit County
44632,Portage County
44645,Summit County
44685,Summit County
44720,Summit County
31701,Dougherty County
31701,Lee County
31702,Dougherty County
31703,Dougherty County
31705,Dougherty County
31705,Worth County
31706,Dougherty County
31707,Dougherty County
31707,Lee County
31708,Dougherty County
31712,Worth County
31714,Worth County
31721,Baker County
31721,Dougherty County
31721,Lee County
31721,Terrell County
31743,Lee County
31744,Worth County
31763,Dougherty County
31763,Lee County
31764,Lee County
31768,Worth County
31771,Worth County
31772,Worth County
31775,Worth County
31781,Worth County
31787,Lee County
31789,Worth County
31791,Dougherty County
31791,Worth County
31795,Worth County
31796,Worth County
39813,Baker County
39826,Terrell County
39837,Baker County
39841,Baker County
39842,Terrell County
39862,Baker County
39870,Baker County
39877,Terrell County
39885,Terrell County
39886,Terrell County
97321,Linn County
97322,Linn County
97327,Linn County
97329,Linn County
97333,Linn County
97335,Linn County
97336,Linn County
97345,Linn County
97346,Linn County
97348,Linn County
97350,Linn County
97352,Linn County
97355,Linn County
97358,Linn County
97360,Linn County
97374,Linn County
97377,Linn County
97383,Linn County
97386,Linn County
97389,Linn County
97413,Linn County
97446,Linn County
97759,Linn County
12007,Albany County
12008,Schenectady County
12009,Albany County
12010,Saratoga County
12010,Schenectady County
12018,Rensselaer County
12019,Saratoga County
12019,Schenectady County
12020,Saratoga County
12022,Rensselaer County
12023,Albany County
12023,Schoharie County
12024,Rensselaer County
12025,Saratoga County
12027,Saratoga County
12027,Schenectady County
12028,Rensselaer County
12031,Schoharie County
12033,Rensselaer County
12035,Schoharie County
12036,Schoharie County
12040,Rensselaer County
12041,Albany County
12043,Schoharie County
12045,Albany County
12046,Albany County
12047,Albany County
12052,Rensselaer County
12053,Albany County
12053,Schenectady County
12053,Schoharie County
12054,Albany County
12056,Schenectady County
12057,Rensselaer County
12059,Albany County
12061,Rensselaer County
12062,Rensselaer County
12063,Rensselaer County
12064,Schoharie County
12065,Saratoga County
12066,Schenectady County
12066,Schoharie County
12067,Albany County
12071,Schoharie County
12074,Saratoga County
12076,Schoharie County
12077,Albany County
12083,Albany County
12084,Albany County
12085,Albany County
12086,Saratoga County
12087,Albany County
12089,Rensselaer County
12090,Rensselaer County
12092,Schoharie County
12093,Schoharie County
12094,Rensselaer County
12110,Albany County
12118,Rensselaer County
12118,Saratoga County
12120,Albany County
12121,Rensselaer County
12122,Albany County
12122,Schoharie County
12123,Rensselaer County
12131,Schoharie County
12134,Saratoga County
12137,Schenectady County
12138,Rensselaer County
12140,Rensselaer County
12143,Albany County
12144,Rensselaer County
12147,Albany County
12148,Saratoga County
12149,Schoharie County
12150,Schenectady County
12151,Saratoga County
12153,Rensselaer County
12154,Rensselaer County
12156,Rensselaer County
12157,Albany County
12157,Schoharie County
12158,Albany County
12159,Albany County
12160,Schoharie County
12161,Albany County
12166,Schoharie County
12167,Schoharie County
12168,Rensselaer County
12169,Rensselaer County
12170,Saratoga County
12175,Schoharie County
12180,Rensselaer County
12181,Rensselaer County
12182,Rensselaer County
12183,Albany County
12184,Rensselaer County
12185,Rensselaer County
12186,Albany County
12187,Schoharie County
12188,Saratoga County
12189,Albany County
12193,Albany County
12194,Schoharie County
12196,Rensselaer County
12197,Schoharie County
12198,Rensselaer County
12201,Albany County
12202,Albany County
12203,Albany County
12204,Albany County
12205,Albany County
12206,Albany County
12207,Albany County
12208,Albany County
12209,Albany County
12210,Albany County
12211,Albany County
12212,Albany County
12220,Albany County
12222,Albany County
12301,Schenectady County
12302,Saratoga County
12302,Schenectady County
12303,Albany County
12303,Schenectady County
12304,Albany County
