,year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county_x,county_y,vlrhna,totalvl,percentvl,lowrhna,lowtotal,lowpercent,modrhna,modtotal,modpercent,aboverhna,abovetotal,abovepercent,totalrhna,totaltotal,totalpercent
0,2011,94002,1390,1640,2210,2580,26.73,31.54,42.5,49.62,Belmont,San Mateo County,San Mateo,116.0,0.0,0%,63.0,0.0,0%,67.0,4.0,6%,222.0,118.0,53%,468.0,122.0,26%
1,2011,94005,1390,1630,2190,2560,26.73,31.35,42.12,49.23,Brisbane,San Mateo County,San Mateo,25.0,0.0,0%,13.0,0.0,0%,15.0,7.0,47%,30.0,10.0,33%,83.0,17.0,20%
2,2011,94010,1290,1520,2040,2390,24.81,29.23,39.23,45.96,Burlingame,San Mateo County,San Mateo,276.0,0.0,0%,144.0,0.0,0%,155.0,0.0,0%,288.0,164.0,57%,863.0,164.0,19%
3,2011,94014,1260,1480,1990,2330,24.23,28.46,38.27,44.81,Daly City,San Mateo County,San Mateo,400.0,21.0,5%,188.0,207.0,110%,221.0,43.0,19%,541.0,192.0,35%,1350.0,463.0,34%
4,2011,94015,1460,1720,2310,2710,28.08,33.08,44.42,52.12,Daly City,San Mateo County,San Mateo,400.0,21.0,5%,188.0,207.0,110%,221.0,43.0,19%,541.0,192.0,35%,1350.0,463.0,34%
5,2011,94019,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Half Moon Bay,San Mateo County,San Mateo,52.0,0.0,0%,31.0,0.0,0%,36.0,11.0,31%,121.0,14.0,12%,240.0,25.0,10%
6,2011,94022,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Los Altos,Santa Clara County,Santa Clara,169.0,1.0,1%,99.0,1.0,1%,112.0,0.0,0%,97.0,101.0,104%,477.0,103.0,22%
7,2011,94024,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Los Altos,Santa Clara County,Santa Clara,169.0,1.0,1%,99.0,1.0,1%,112.0,0.0,0%,97.0,101.0,104%,477.0,103.0,22%
8,2011,94025,1710,2010,2700,3160,32.88,38.65,51.92,60.77,Menlo Park,San Mateo County,San Mateo,233.0,80.0,34%,129.0,28.0,22%,143.0,1.0,1%,150.0,740.0,493%,655.0,849.0,130%
9,2011,94027,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Atherton,San Mateo County,San Mateo,35.0,15.0,43%,26.0,9.0,35%,29.0,5.0,17%,3.0,10.0,333%,93.0,39.0,42%
