year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county
2011,94002,1390,1640,2210,2580,26.73,31.54,42.5,49.62,Belmont,San Mateo County
2011,94005,1390,1630,2190,2560,26.73,31.35,42.12,49.23,Brisbane,San Mateo County
2011,94010,1290,1520,2040,2390,24.81,29.23,39.23,45.96,Burlingame,San Mateo County
2011,94014,1260,1480,1990,2330,24.23,28.46,38.27,44.81,Daly City,San Mateo County
2011,94015,1460,1720,2310,2710,28.08,33.08,44.42,52.12,Daly City,San Mateo County
2011,94019,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Half Moon Bay,San Mateo County
2011,94022,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Los Altos,Santa Clara County
2011,94024,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Los Altos,Santa Clara County
2011,94025,1710,2010,2700,3160,32.88,38.65,51.92,60.77,Menlo Park,San Mateo County
2011,94027,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Atherton,San Mateo County
2011,94028,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Portola Valley,San Mateo County
2011,94030,1450,1700,2290,2670,27.88,32.69,44.04,51.35,Millbrae,San Mateo County
2011,94038,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Moss Beach,San Mateo County
2011,94040,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Mountain View,Santa Clara County
2011,94043,1450,1740,2500,2750,27.88,33.46,48.08,52.88,Mountain View,Santa Clara County
2011,94044,1560,1840,2470,2890,30,35.38,47.5,55.58,Pacifica,San Mateo County
2011,94061,1440,1690,2270,2660,27.69,32.5,43.65,51.15,Redwood City,San Mateo County
2011,94062,1300,1530,2060,2410,25,29.42,39.62,46.35,Redwood City,San Mateo County
2011,94063,1220,1440,1940,2270,23.46,27.69,37.31,43.65,Redwood City,San Mateo County
2011,94065,1450,1710,2300,2690,27.88,32.88,44.23,51.73,Redwood City,San Mateo County
2011,94066,1480,1740,2340,2740,28.46,33.46,45,52.69,San Bruno,San Mateo County
2011,94070,1550,1820,2450,2860,29.81,35,47.12,55,San Carlos,San Mateo County
2011,94080,1410,1660,2230,2610,27.12,31.92,42.88,50.19,South San Francisco,San Mateo County
2011,94085,1480,1780,2550,2810,28.46,34.23,49.04,54.04,Sunnyvale,Santa Clara County
2011,94086,1400,1680,2410,2650,26.92,32.31,46.35,50.96,Sunnyvale,Santa Clara County
2011,94087,1460,1750,2510,2760,28.08,33.65,48.27,53.08,Sunnyvale,Santa Clara County
2011,94089,1610,1930,2770,3050,30.96,37.12,53.27,58.65,Sunnyvale,Santa Clara County
2011,94102,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County
2011,94103,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County
2011,94104,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94105,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94107,1940,2280,3070,3590,37.31,43.85,59.04,69.04,San Francisco,San Francisco County
2011,94108,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County
2011,94109,1210,1420,1910,2230,23.27,27.31,36.73,42.88,San Francisco,San Francisco County
2011,94110,1340,1580,2130,2490,25.77,30.38,40.96,47.88,San Francisco,San Francisco County
2011,94111,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94112,1360,1600,2150,2520,26.15,30.77,41.35,48.46,San Francisco,San Francisco County
2011,94114,1620,1910,2570,3000,31.15,36.73,49.42,57.69,San Francisco,San Francisco County
2011,94115,1460,1720,2310,2710,28.08,33.08,44.42,52.12,San Francisco,San Francisco County
2011,94116,1590,1870,2520,2940,30.58,35.96,48.46,56.54,San Francisco,San Francisco County
2011,94117,1520,1790,2410,2820,29.23,34.42,46.35,54.23,San Francisco,San Francisco County
2011,94118,1420,1670,2250,2630,27.31,32.12,43.27,50.58,San Francisco,San Francisco County
2011,94121,1420,1670,2250,2630,27.31,32.12,43.27,50.58,San Francisco,San Francisco County
2011,94122,1480,1740,2340,2740,28.46,33.46,45,52.69,San Francisco,San Francisco County
2011,94123,1770,2080,2800,3270,34.04,40,53.85,62.88,San Francisco,San Francisco County
2011,94124,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County
2011,94127,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94129,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94130,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County
2011,94131,1500,1770,2380,2780,28.85,34.04,45.77,53.46,San Francisco,San Francisco County
2011,94132,1600,1880,2530,2960,30.77,36.15,48.65,56.92,San Francisco,San Francisco County
2011,94133,1350,1590,2140,2500,25.96,30.58,41.15,48.08,San Francisco,San Francisco County
2011,94134,1350,1590,2140,2500,25.96,30.58,41.15,48.08,San Francisco,San Francisco County
2011,94301,1800,2160,3100,3410,34.62,41.54,59.62,65.58,Palo Alto,Santa Clara County
2011,94303,1210,1420,1910,2230,23.27,27.31,36.73,42.88,Palo Alto,San Mateo County
2011,94304,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Palo Alto,Santa Clara County
2011,94305,1280,1540,2210,2430,24.62,29.62,42.5,46.73,Stanford,Santa Clara County
2011,94306,1560,1880,2700,2970,30,36.15,51.92,57.12,Palo Alto,Santa Clara County
2011,94401,1390,1640,2210,2580,26.73,31.54,42.5,49.62,San Mateo,San Mateo County
2011,94402,1500,1770,2380,2780,28.85,34.04,45.77,53.46,San Mateo,San Mateo County
2011,94403,1580,1860,2500,2930,30.38,35.77,48.08,56.35,San Mateo,San Mateo County
2011,94404,1860,2190,2950,3440,35.77,42.12,56.73,66.15,San Mateo,San Mateo County
2011,94501,1250,1470,1980,2310,24.04,28.27,38.08,44.42,Alameda,Alameda County
2011,94502,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Alameda,Alameda County
2011,94503,1090,1410,1950,2220,20.96,27.12,37.5,42.69,American Canyon,Napa County
