,Alameda County,Alameda,Albany,Berkeley,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,San Leandro,Union City,Alameda Unincorporated,San Mateo County,Atherton,Belmont,Brisbane,Burlingame,Colma,Daly City,East Palo Alto,Foster City,Half Moon Bay,Hillsborough,Menlo Park,Millbrae,Pacifica,Portola Valley,Redwood City,San Bruno,San Carlos,San Mateo,South San Francisco,Woodside,San Mateo Unincorporated,Santa Clara County,Campbell,Cupertino,Gilroy,Los Altos,Los Altos Hills,Los Gatos,Milpitas,Monte Sereno,Morgan Hill,Mountain View,Palo Alto,San Jose,Santa Clara,Saratoga,Sunnyvale,Santa Clara Unincorporated
vlrhna,9912,444,80,532,796,276,1714,851,839,330,2059,24,716,504,317,430,4595,35,116,25,276,20,400,64,148,52,32,233,193,121,21,706,358,195,859,565,23,153,16158,253,356,236,169,46,201,1004,23,273,814,691,9233,1050,147,1640,22
vltotal,1270,51,0,89,26,81,283,40,52,0,313,5,182,27,0,121,309,15,0,0,0,0,21,4,9,0,25,80,0,0,17,7,0,5,37,80,9,0,819,9,1,26,1,5,0,10,16,43,120,20,452,0,0,89,27
vlpercent,13%,11%,0%,17%,3%,29%,17%,5%,6%,0%,15%,21%,25%,5%,0%,28%,7%,43%,0%,0%,0%,0%,5%,6%,6%,0%,78%,34%,0%,0%,81%,1%,0%,3%,4%,14%,39%,0%,5%,4%,0%,11%,1%,11%,0%,1%,70%,16%,15%,3%,5%,0%,0%,5%,123%
lowrhna,6604,248,53,442,446,211,926,480,474,167,2075,14,391,270,180,227,2507,26,63,13,144,8,188,54,87,31,17,129,101,68,15,429,161,107,469,281,13,103,9542,138,207,160,99,28,112,570,13,154,492,432,5428,695,95,906,13
lowtotal,716,33,0,29,39,16,249,19,42,0,109,2,44,57,0,77,428,9,0,0,0,0,207,24,31,0,10,28,0,0,2,55,17,11,23,4,2,5,777,6,0,249,1,5,2,0,5,142,135,58,122,0,32,20,0
lowpercent,11%,13%,0%,7%,9%,8%,27%,4%,9%,0%,5%,14%,11%,21%,0%,34%,17%,35%,0%,0%,0%,0%,110%,44%,36%,0%,59%,22%,0%,0%,13%,13%,11%,10%,5%,1%,15%,5%,8%,4%,0%,156%,1%,18%,2%,0%,38%,92%,27%,13%,2%,0%,34%,2%,0%
modrhna,7924,283,57,584,425,259,978,608,496,158,2815,15,407,352,192,295,2830,29,67,15,155,9,221,83,76,36,21,143,112,70,15,502,205,111,530,313,15,102,10636,151,231,217,112,32,132,565,13,185,527,278,6188,755,104,932,214
modtotal,778,21,0,2,14,14,1,0,424,0,11,3,18,0,249,21,267,5,4,7,0,0,43,42,9,11,7,1,0,6,5,0,42,9,27,28,0,21,580,15,32,7,0,7,9,0,4,86,0,38,285,4,5,83,5
modpercent,10%,7%,0%,0%,3%,5%,0%,0%,85%,0%,0%,20%,4%,0%,130%,7%,9%,17%,6%,47%,0%,0%,19%,51%,12%,31%,33%,1%,0%,9%,33%,0%,20%,8%,5%,9%,0%,21%,5%,10%,14%,3%,0%,22%,7%,0%,31%,46%,0%,14%,5%,1%,5%,9%,2%
aboverhna,19596,748,145,1401,618,752,1837,1981,920,423,7816,7,553,1161,417,817,6486,3,222,30,288,22,541,266,119,121,21,150,257,154,13,1152,431,183,1242,705,11,555,22500,391,270,475,97,15,174,1151,12,316,1093,587,14231,1593,93,1974,28
abovetotal,16425,194,210,817,2638,310,2409,726,732,444,6649,7,1148,14,73,54,4576,10,118,10,164,6,192,13,503,14,6,740,0,24,23,829,51,399,941,413,6,114,14574,294,155,720,101,22,52,82,8,822,2004,229,6345,2175,18,1380,167
abovepercent,84%,26%,145%,58%,427%,41%,131%,37%,80%,105%,85%,100%,208%,1%,18%,7%,71%,333%,53%,33%,57%,27%,35%,5%,423%,12%,29%,493%,0%,16%,177%,72%,12%,218%,76%,59%,55%,21%,65%,75%,57%,152%,104%,147%,30%,7%,67%,260%,183%,39%,45%,137%,19%,70%,596%
totalrhna,44036,1723,335,2959,2285,1498,5455,3920,2729,1078,14765,60,2067,2287,1106,1769,16418,93,468,83,863,59,1350,467,430,240,91,655,663,413,64,2789,1155,596,3100,1864,62,913,58836,933,1064,1088,477,121,619,3290,61,928,2926,1988,35080,4093,439,5452,277
totaltotal,19189,299,210,937,2717,421,2942,785,1250,444,7082,17,1392,98,322,273,5580,39,122,17,164,6,463,83,552,25,48,849,0,30,47,891,110,424,1028,525,17,140,16750,324,188,1002,103,39,63,92,33,1093,2259,345,7204,2179,55,1572,199
totalpercent,44%,17%,63%,32%,119%,28%,54%,20%,46%,41%,48%,28%,67%,4%,29%,15%,34%,42%,26%,20%,19%,10%,34%,18%,128%,10%,53%,130%,0%,7%,73%,32%,10%,71%,33%,28%,27%,15%,28%,35%,18%,92%,22%,32%,10%,3%,54%,118%,77%,17%,21%,53%,13%,29%,
