city,year,onehw,twohw,threehw,fourhw
Alameda,2011,23.75,27.88,37.5,43.84
Alameda,2012,23.66,27.98,37.98,46.92
Alameda,2013,21.34,26.44,36.25,43.46
Alameda,2014,22.21,27.5,37.69,45.19
Alameda,2015,23.46,28.94,39.71,47.5
Alameda,2016,33.26,40.86,54.71,63.56
Alameda,2017,43.27,52.78,70.77,84.52
Alameda,2018,47.12,59.14,81.82,100.29
Alameda,2019,42.5,53.36,73.75,90.29
Alamo,2011,25.0,29.42,39.62,46.35
Alamo,2012,24.81,29.42,39.81,49.42
Alamo,2013,22.5,27.69,37.88,45.38
Alamo,2014,23.27,28.85,39.42,47.31
Alamo,2015,24.62,30.38,41.54,49.81
Alamo,2016,41.15,50.58,67.69,78.65
Alamo,2017,51.35,62.69,84.04,100.38
Alamo,2018,53.46,67.12,92.88,113.85
Alamo,2019,48.85,60.77,83.65,102.5
Albany,2011,27.31,32.12,43.27,50.58
Albany,2012,27.12,32.12,43.46,53.85
Albany,2013,24.04,29.62,40.58,48.65
Albany,2014,25.0,30.77,42.12,50.58
Albany,2015,26.35,32.5,44.42,53.46
Albany,2016,29.42,36.15,48.46,56.15
Albany,2017,41.35,50.38,67.5,80.58
Albany,2018,46.35,58.08,80.38,98.46
Albany,2019,41.73,52.31,72.5,88.65
Alviso,2011,27.31,32.88,47.12,51.92
Alviso,2012,24.62,27.31,38.65,47.88
Alviso,2013,22.12,28.27,39.81,48.65
Alviso,2014,22.69,28.85,40.77,49.62
Alviso,2015,24.81,31.73,44.81,54.62
Alviso,2016,25.19,31.35,43.27,48.65
Alviso,2017,26.54,33.08,45.38,52.88
Alviso,2018,30.77,38.46,53.27,61.35
Alviso,2019,35.19,43.65,60.19,68.27
American Canyon,2011,20.96,27.12,37.5,42.69
American Canyon,2012,21.73,28.27,39.04,44.42
American Canyon,2013,21.73,29.04,41.35,40.77
American Canyon,2014,23.65,31.54,45.0,44.23
American Canyon,2015,25.19,33.65,48.08,47.12
American Canyon,2016,27.5,36.15,51.73,57.12
American Canyon,2017,28.46,36.92,53.65,60.0
American Canyon,2018,26.54,35.0,50.77,56.35
American Canyon,2019,28.27,37.31,54.04,58.65
Antioch,2011,28.75,33.84,45.48,53.18
Antioch,2012,28.36,33.56,45.48,56.34
Antioch,2013,25.29,31.15,42.69,51.25
Antioch,2014,26.25,32.4,44.42,53.27
Antioch,2015,27.69,34.14,46.73,56.06
Antioch,2016,32.11,39.42,52.78,61.25
Antioch,2017,41.54,50.67,67.89,81.15
Antioch,2018,41.92,52.6,72.69,89.14
Antioch,2019,40.2,50.48,69.71,85.48
Atherton,2011,27.88,32.88,44.23,51.73
Atherton,2012,27.69,32.88,44.62,55.19
Atherton,2013,25.0,30.96,42.31,50.77
Atherton,2014,26.15,32.31,44.23,53.08
Atherton,2015,27.5,34.04,46.54,55.96
