,Unnamed: 0,zip,1br,2br,3br,4br,year,county
0,0,94558,1090,1460,2080,2050,2014,Napa County
6,0,94558,1280,1660,2420,2690,2017,Napa County
15,0,94558,1020,1320,1830,2070,2012,Napa County
18,0,94558,1420,1880,2720,2960,2019,Napa County
27,0,94558,1000,1340,1910,1880,2013,Napa County
30,0,94558,1090,1420,1960,2230,2011,Napa County
33,0,94558,1170,1540,2200,2440,2016,Napa County
42,0,94558,1170,1560,2230,2190,2015,Napa County
48,0,94558,1350,1780,2580,2860,2018,Napa County
57,2,94533,850,1070,1580,1870,2014,Solano County
58,3,94533,900,1130,1640,1990,2017,Solano County
59,1,94533,990,1140,1600,1970,2012,Solano County
60,3,94533,1140,1390,2010,2440,2019,Solano County
61,1,94533,850,1070,1580,1870,2013,Solano County
62,1,94533,1020,1170,1640,2020,2011,Solano County
63,3,94533,930,1160,1690,2030,2016,Solano County
64,2,94533,890,1110,1640,1940,2015,Solano County
65,3,94533,1060,1310,1910,2310,2018,Solano County
66,3,95620,1000,1250,1840,2190,2014,Yolo County
70,4,95620,900,1120,1630,1970,2017,Yolo County
74,2,95620,1130,1300,1820,2250,2012,Yolo County
78,4,95620,1030,1250,1810,2190,2019,Yolo County
82,2,95620,1000,1250,1840,2190,2013,Yolo County
86,2,95620,1100,1260,1770,2180,2011,Yolo County
90,4,95620,950,1200,1750,2100,2016,Yolo County
94,3,95620,1030,1290,1900,2260,2015,Yolo County
98,4,95620,950,1180,1710,2070,2018,Yolo County
102,5,95476,1050,1410,2010,1980,2014,Napa County
106,6,95476,1220,1590,2310,2580,2017,Napa County
110,4,95476,1010,1310,1810,2060,2012,Napa County
114,6,95476,1490,1940,2810,3390,2019,Napa County
118,4,95476,970,1300,1850,1820,2013,Napa County
122,4,95476,1090,1410,1950,2220,2011,Napa County
126,6,95476,1140,1500,2150,2370,2016,Napa County
130,5,95476,1130,1510,2150,2120,2015,Napa County
134,6,95476,1460,1890,2760,3340,2018,Napa County
138,7,94559,980,1310,1870,1840,2014,Napa County
139,8,94559,1080,1410,2050,2290,2017,Napa County
