jurisdiction,county_x,rhna-vl,total-vl,percent-vl,rhna-low,total-low,percent-low,rhna-mod,total-mod,percent-mod,rhna-above,total-above,percent-above,rhna-total,total-total,percent-total,zip-code,city,county_y,2018-county-housing-wage
Alameda County,Alameda,"9,912","1,270",13%,"6,604",716,11%,"7,924",778,10%,"19,596","16,425",84%,"44,036","19,189",44%,,,,
Alameda,Alameda,444,51,11%,248,33,13%,283,21,7%,748,194,26%,"1,723",299,17%,,,,
Albany,Alameda,80,0,0%,53,0,0%,57,0,0%,145,210,145%,335,210,63%,,,,
Berkeley,Alameda,532,89,17%,442,29,7%,584,2,0%,"1,401",817,58%,"2,959",937,32%,,,,
Dublin,Alameda,796,26,3%,446,39,9%,425,14,3%,618,"2,638",427%,"2,285","2,717",119%,,,,
Emeryville,Alameda,276,81,29%,211,16,8%,259,14,5%,752,310,41%,"1,498",421,28%,,,,
Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%,94536,Fremont,Alameda,$44.79
Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%,94538,Fremont,Alameda,$44.79
Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%,94539,Fremont,Alameda,$44.79
Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%,94555,Fremont,Alameda,$44.79
Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%,94541,Hayward,Alameda,$44.79
Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%,94542,Hayward,Alameda,$44.79
Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%,94544,Hayward,Alameda,$44.79
Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%,94545,Hayward,Alameda,$44.79
Livermore,Alameda,839,52,6%,474,42,9%,496,424,85%,920,732,80%,"2,729","1,250",46%,,,,
Newark,Alameda,330,0,0%,167,0,0%,158,0,0%,423,444,105%,"1,078",444,41%,94560,Newark,Alameda,$44.79
Oakland,Alameda,"2,059",313,15%,"2,075",109,5%,"2,815",11,0%,"7,816","6,649",85%,"14,765","7,082",48%,,,,
Piedmont,Alameda,24,5,21%,14,2,14%,15,3,20%,7,7,100%,60,17,28%,,,,
Pleasanton,Alameda,716,182,25%,391,44,11%,407,18,4%,553,"1,148",208%,"2,067","1,392",67%,,,,
San Leandro,Alameda,504,27,5%,270,57,21%,352,0,0%,"1,161",14,1%,"2,287",98,4%,,,,
Union City,Alameda,317,0,0%,180,0,0%,192,249,130%,417,73,18%,"1,106",322,29%,94587,Union City,Alameda,$44.79
Alameda Unincorporated,Alameda,430,121,28%,227,77,34%,295,21,7%,817,54,7%,"1,769",273,15%,,,,
San Mateo County,San Mateo,"4,595",309,7%,"2,507",428,17%,"2,830",267,9%,"6,486","4,576",71%,"16,418","5,580",34%,,,,
Atherton,San Mateo,35,15,43%,26,9,35%,29,5,17%,3,10,333%,93,39,42%,,,,
Belmont,San Mateo,116,0,0%,63,0,0%,67,4,6%,222,118,53%,468,122,26%,94002,Belmont,San Mateo,$60.02
Brisbane,San Mateo,25,0,0%,13,0,0%,15,7,47%,30,10,33%,83,17,20%,94005,Brisbane,Santa Clara,$48.50
Burlingame,San Mateo,276,0,0%,144,0,0%,155,0,0%,288,164,57%,863,164,19%,,,,
Colma,San Mateo,20,0,0%,8,0,0%,9,0,0%,22,6,27%,59,6,10%,,,,
Daly City,San Mateo,400,21,5%,188,207,110%,221,43,19%,541,192,35%,"1,350",463,34%,94015,Daly City,San Mateo,$60.02
East Palo Alto,San Mateo,64,4,6%,54,24,44%,83,42,51%,266,13,5%,467,83,18%,,,,
Foster City,San Mateo,148,9,6%,87,31,36%,76,9,12%,119,503,423%,430,552,128%,,,,
Half Moon Bay,San Mateo,52,0,0%,31,0,0%,36,11,31%,121,14,12%,240,25,10%,94019,Half Moon Bay,San Mateo,$60.02
Hillsborough,San Mateo,32,25,78%,17,10,59%,21,7,33%,21,6,29%,91,48,53%,,,,
Menlo Park,San Mateo,233,80,34%,129,28,22%,143,1,1%,150,740,493%,655,849,130%,94025,Menlo Park,San Mateo,$60.02
Millbrae,San Mateo,193,0,0%,101,0,0%,112,0,0%,257,0,0%,663,0,0%,94030,Millbrae,San Mateo,$60.02
Pacifica,San Mateo,121,0,0%,68,0,0%,70,6,9%,154,24,16%,413,30,7%,94044,Pacifica,San Mateo,$60.02
Portola Valley,San Mateo,21,17,81%,15,2,13%,15,5,33%,13,23,177%,64,47,73%,,,,
Redwood City,San Mateo,706,7,1%,429,55,13%,502,0,0%,"1,152",829,72%,"2,789",891,32%,94063,Redwood City,San Mateo,$60.02
Redwood City,San Mateo,706,7,1%,429,55,13%,502,0,0%,"1,152",829,72%,"2,789",891,32%,94064,Redwood City,San Mateo,$60.02
San Bruno,San Mateo,358,0,0%,161,17,11%,205,42,20%,431,51,12%,"1,155",110,10%,94066,San Bruno,San Mateo,$60.02
San Carlos,San Mateo,195,5,3%,107,11,10%,111,9,8%,183,399,218%,596,424,71%,94070,San Carlos,San Mateo,$60.02
San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%,94401,San Mateo,San Mateo,$60.02
San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%,94402,San Mateo,San Mateo,$60.02
San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%,94403,San Mateo,San Mateo,$60.02
South San Francisco,San Mateo,565,80,14%,281,4,1%,313,28,9%,705,413,59%,"1,864",525,28%,94080,South San Francisco,San Mateo,$60.02
Woodside,San Mateo,23,9,39%,13,2,15%,15,0,0%,11,6,55%,62,17,27%,,,,
San Mateo Unincorporated,San Mateo,153,0,0%,103,5,5%,102,21,21%,555,114,21%,913,140,15%,,,,
Santa Clara County,Santa Clara,"16,158",819,5%,"9,542",777,8%,"10,636",580,5%,"22,500","14,574",65%,"58,836","16,750",28%,,,,
Campbell,Santa Clara,253,9,4%,138,6,4%,151,15,10%,391,294,75%,933,324,35%,95008,Campbell,Santa Clara,$48.50
Cupertino,Santa Clara,356,1,0%,207,0,0%,231,32,14%,270,155,57%,"1,064",188,18%,,,,
Gilroy,Santa Clara,236,26,11%,160,249,156%,217,7,3%,475,720,152%,"1,088","1,002",92%,95020,Gilroy,Santa Clara,$48.50
Los Altos,Santa Clara,169,1,1%,99,1,1%,112,0,0%,97,101,104%,477,103,22%,,,,
Los Altos Hills,Santa Clara,46,5,11%,28,5,18%,32,7,22%,15,22,147%,121,39,32%,,,,
Los Gatos,Santa Clara,201,0,0%,112,2,2%,132,9,7%,174,52,30%,619,63,10%,95032,Los Gatos,Santa Clara,$48.50
Los Gatos,Santa Clara,201,0,0%,112,2,2%,132,9,7%,174,52,30%,619,63,10%,95033,Los Gatos,Santa Clara,$48.50
Milpitas,Santa Clara,"1,004",10,1%,570,0,0%,565,0,0%,"1,151",82,7%,"3,290",92,3%,95035,Milpitas,Santa Clara,$48.50
Monte Sereno,Santa Clara,23,16,70%,13,5,38%,13,4,31%,12,8,67%,61,33,54%,,,,
Morgan Hill,Santa Clara,273,43,16%,154,142,92%,185,86,46%,316,822,260%,928,"1,093",118%,,,,
Mountain View,Santa Clara,814,120,15%,492,135,27%,527,0,0%,"1,093","2,004",183%,"2,926","2,259",77%,94040,Mountain View,Santa Clara,$48.50
Mountain View,Santa Clara,814,120,15%,492,135,27%,527,0,0%,"1,093","2,004",183%,"2,926","2,259",77%,94041,Mountain View,Santa Clara,$48.50
