X,Y,OBJECTID,joinid
-122.009599152878593,37.552571156034048,6001,ALAM0001922
-122.009852121378287,37.55269490004963,6002,ALAM0001923
-122.047262788946512,37.573435193679302,6003,ALAM0001924
-121.929474816909249,37.538997043578775,6004,ALAM0001925
-121.929714811789097,37.538968217609181,6005,ALAM0001926
-121.929912613176498,37.538958086746334,6006,ALAM0001927
-121.893305007819833,37.475957862365533,6007,ALAM0001928
-121.930113578378894,37.538936059651462,6008,ALAM0001929
-121.892231032036477,37.478388967277056,6009,ALAM0001930
-121.930323458560736,37.538918884399038,6010,ALAM0001931
-122.063841155944544,37.562904738662837,6011,ALAM0001932
-122.063264123040824,37.562573449105457,6012,ALAM0001933
-122.063115334704889,37.562493571321284,6013,ALAM0001934
-122.063552383635567,37.562759362354768,6014,ALAM0001935
-122.063252011870816,37.56234441516267,6015,ALAM0001936
-122.063391903213756,37.56241706779349,6016,ALAM0001937
-122.063510278276681,37.562294000068107,6017,ALAM0001938
-122.063932189818672,37.562333116979801,6018,ALAM0001939
-122.063361519618411,37.562211738181247,6019,ALAM0001940
-122.063625199043656,37.561968199073192,6020,ALAM0001941
-121.931111497597499,37.538680391387004,6021,ALAM0001942
-121.931139194917876,37.538838036246432,6022,ALAM0001943
-121.931170837564082,37.539138800115609,6023,ALAM0001944
-121.931198468334628,37.539301213180522,6024,ALAM0001945
-121.931226029857385,37.539468395350241,6025,ALAM0001946
-122.118034156750923,37.649201225256377,6026,ALAM0001947
-122.11820745431055,37.649193578321047,6027,ALAM0001948
-122.118396474717485,37.649187837049112,6028,ALAM0001949
-122.118406798934586,37.649456197445602,6029,ALAM0001950
-122.118415713914032,37.649551477019088,6030,ALAM0001951
-122.118423894147384,37.649620695139049,6031,ALAM0001952
-122.118420020767303,37.649694593330878,6032,ALAM0001953
-122.118419923640545,37.64979360419153,6033,ALAM0001954
-122.118109814016691,37.649461131126372,6034,ALAM0001955
-122.118115418591685,37.649557755186322,6035,ALAM0001956
-122.118116844017095,37.649627519194723,6036,ALAM0001957
-122.118120434110722,37.649704454397124,6037,ALAM0001958
-122.118120411627672,37.649821770058679,6038,ALAM0001959
-122.117515905334756,37.649212253642645,6039,ALAM0001960
-122.117677878631184,37.649211080926705,6040,ALAM0001961
-122.117856424634283,37.64920347266218,6041,ALAM0001962
-122.117921694730398,37.649886460991411,6042,ALAM0001963
